,Country.of.Origin,Bag.Weight,Variety,Processing.Method,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Grade,altitude_mean_km
285,Brazil,60 kg,Yellow Bourbon,Natural / Dry,0.1,0,0,Green,0,Specialty Grade,1.3
286,Ecuador,5 lbs,,Natural / Dry,0.09,0,0,Bluish-Green,0,Specialty Grade,0.8
287,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.8
288,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,0.4
289,Mexico,1 kg,Bourbon,Natural / Dry,0.1,0,0,Green,2,Specialty Grade,1.2
290,Mexico,1 kg,Pacas,Natural / Dry,0.11,0,0,,4,Specialty Grade,1.3
291,Brazil,1 kg,Yellow Bourbon,Semi-washed / Semi-pulped,0.12,0,0,Green,3,Specialty Grade,1.2
292,Thailand,50 kg,,,0.02,0,0,,2,Specialty Grade,0.5
293,Thailand,60 kg,,,0.01,0,0,,0,Specialty Grade,0
294,Ethiopia,6,,,0.1,0,0,,3,Specialty Grade,0
295,Kenya,60 kg,SL28,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.8
296,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,0,Green,5,Specialty Grade,0.9
297,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,0.4
298,Taiwan,10 kg,Typica,Natural / Dry,0,0,0,Green,0,Specialty Grade,0.8
299,Colombia,70 kg,,Washed / Wet,0,1,0,Green,4,Specialty Grade,0
300,China,60 kg,Catimor,Washed / Wet,0.1,0,1,Green,2,Specialty Grade,1.7
301,Colombia,70 kg,Caturra,Natural / Dry,0,0,0,Green,0,Specialty Grade,0.4
302,Uganda,60 kg,Bourbon,Natural / Dry,0.12,0,0,Green,0,Specialty Grade,1.4
303,United States (Puerto Rico),5 lbs,Other,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,0.3
304,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,5,Specialty Grade,1.8
305,Colombia,70 kg,Other,Washed / Wet,0,0,0,Green,3,Specialty Grade,1.6
306,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Blue-Green,1,Specialty Grade,1.8
307,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.8
308,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0,0,0,Bluish-Green,0,Specialty Grade,0
309,Mexico,1 kg,Caturra,Natural / Dry,0.13,5,0,None,5,Specialty Grade,0.7
310,Guatemala,3 lbs,Caturra,Washed / Wet,0.11,0,0,Bluish-Green,1,Specialty Grade,1.3
311,Colombia,70 kg,,,0.1,0,0,,1,Specialty Grade,1.6
312,Colombia,70 kg,,,0.06,0,0,,1,Specialty Grade,1.6
313,United States (Hawaii),1,,,0,0,0,,0,Specialty Grade,0
314,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,0,Green,2,Specialty Grade,0.9
315,Kenya,60 kg,SL28,Washed / Wet,0.11,0,0,Bluish-Green,0,Specialty Grade,1.7
316,Honduras,69 kg,Caturra,Washed / Wet,0.1,0,0,Green,2,Specialty Grade,1.4
317,Nicaragua,69 kg,Caturra,Washed / Wet,0.1,0,0,Green,3,Specialty Grade,1.2
318,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,2,Green,3,Specialty Grade,0.9
319,Taiwan,50 kg,Caturra,Natural / Dry,0.1,0,0,Bluish-Green,0,Specialty Grade,1.2
320,Costa Rica,69 kg,,,0.11,0,0,Blue-Green,1,Specialty Grade,1.4
321,Thailand,1 kg,,Washed / Wet,0.12,0,0,Bluish-Green,0,Specialty Grade,0.8
322,Colombia,2 lbs,Caturra,Washed / Wet,0.11,0,0,,4,Specialty Grade,1.6
323,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,0,Specialty Grade,0.4
324,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,3,Specialty Grade,1.8
325,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,1,Specialty Grade,1.9
326,Guatemala,69 kg,Bourbon,Washed / Wet,0.12,1,0,Green,3,Specialty Grade,0.4
327,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,0.4
328,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.8
329,Guatemala,1 kg,Caturra,Natural / Dry,0.11,0,0,Green,1,Specialty Grade,1.4
330,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,13,Specialty Grade,0.4
331,Mexico,1 kg,Typica,Washed / Wet,0.12,4,0,Green,11,Specialty Grade,1.1
332,Indonesia,60 kg,Typica,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.4
333,Guatemala,69 kg,Caturra,Washed / Wet,0.1,0,0,Green,0,Specialty Grade,0.5
334,United States (Hawaii),100 lbs,,,0,0,0,,0,Specialty Grade,0
335,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,0,Green,5,Specialty Grade,0.9
336,Guatemala,69 kg,Caturra,Washed / Wet,0.11,0,1,Green,0,Specialty Grade,0.3
337,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,4,Specialty Grade,0
338,China,60 kg,Catimor,Washed / Wet,0.1,0,1,Green,4,Specialty Grade,1.1
339,Colombia,70 kg,Caturra,Washed / Wet,0.12,0,0,Green,3,Specialty Grade,1.8
340,Mexico,2 kg,Caturra,Washed / Wet,0.12,1,0,Green,13,Specialty Grade,1.2
341,Ethiopia,60 kg,Other,Washed / Wet,0,0,0,,7,Specialty Grade,1.9
342,Uganda,60 kg,SL14,Washed / Wet,0.12,0,0,Green,5,Specialty Grade,1.8
343,Colombia,70 kg,Caturra,Natural / Dry,0,0,0,Green,0,Specialty Grade,1.6
344,Colombia,70 kg,Caturra,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.6
345,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,,0,Specialty Grade,1.6
346,Taiwan,30 kg,Typica,Other,0.11,0,0,Green,0,Specialty Grade,1
347,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.8
348,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,,2,Specialty Grade,1
349,Colombia,70 kg,Caturra,Natural / Dry,0.11,0,0,Green,4,Specialty Grade,2.1
350,Brazil,60 kg,Catuai,Semi-washed / Semi-pulped,0.12,0,0,Blue-Green,2,Specialty Grade,1.1
351,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Bluish-Green,5,Specialty Grade,1.8
352,Taiwan,10 kg,,,0.11,0,0,Blue-Green,0,Specialty Grade,0
353,Costa Rica,69 kg,Caturra,Washed / Wet,0,0,0,Blue-Green,0,Specialty Grade,1.9
354,Colombia,70 kg,Caturra,Natural / Dry,0,0,0,Green,0,Specialty Grade,1
355,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,2,Bluish-Green,5,Specialty Grade,0.4
356,Colombia,70 kg,Caturra,Washed / Wet,0.12,0,0,Green,4,Specialty Grade,1.8
357,"Tanzania, United Republic Of",60 kg,Ruiru 11,Washed / Wet,0.13,0,0,Green,21,Specialty Grade,1.4
358,Indonesia,30 kg,Sumatra,Semi-washed / Semi-pulped,0.13,0,0,Bluish-Green,8,Specialty Grade,1.5
359,Ethiopia,60 kg,,Natural / Dry,0.1,1,0,,18,Specialty Grade,1.6
360,Colombia,2 kg,,Washed / Wet,0,1,0,,0,Specialty Grade,0
361,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.9
362,Guatemala,1 kg,Caturra,Washed / Wet,0.1,0,0,Green,0,Specialty Grade,1.4
363,Colombia,70 kg,Caturra,Washed / Wet,0,2,0,,0,Specialty Grade,1.7
364,Honduras,1 kg,Caturra,Natural / Dry,0.1,0,0,Green,3,Specialty Grade,1.4
365,Colombia,70 kg,Caturra,Washed / Wet,0,1,0,Green,1,Specialty Grade,1.8
366,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,,Green,2,Specialty Grade,1.8
367,Mexico,1 kg,Bourbon,Natural / Dry,0.13,0,0,Green,14,Specialty Grade,1.2
368,Mexico,1 kg,Typica,Semi-washed / Semi-pulped,0.11,0,0,Green,12,Specialty Grade,0.9
369,Mexico,1 kg,Pacamara,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.4
370,Guatemala,69 kg,Caturra,Washed / Wet,0.1,0,0,Green,5,Specialty Grade,0.5
371,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.8
372,Guatemala,2 kg,Bourbon,Washed / Wet,0,3,0,Green,12,Specialty Grade,0.4
373,United States (Hawaii),100 lbs,,,0.01,0,0,,0,Specialty Grade,0
374,Indonesia,60 kg,,,0,0,0,,0,Specialty Grade,1.6
375,Colombia,29 kg,Caturra,Washed / Wet,0,0,2,Green,1,Specialty Grade,0.4
376,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,3,Specialty Grade,1.7
377,Colombia,29 kg,Caturra,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,0.4
378,Costa Rica,69 kg,Caturra,Washed / Wet,0.09,0,0,Blue-Green,4,Specialty Grade,1.9
379,Taiwan,10 kg,,,0.11,0,0,Blue-Green,0,Specialty Grade,0
380,Uganda,1218 kg,SL14,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.8
381,Thailand,25 kg,Catimor,Washed / Wet,0.13,0,0,Bluish-Green,0,Specialty Grade,1.2
382,El Salvador,69 kg,Bourbon,Washed / Wet,0.11,0,0,,0,Specialty Grade,1.3
383,Colombia,70 kg,Caturra,Natural / Dry,0.12,4,0,Green,0,Specialty Grade,0.4
384,Brazil,60 kg,Yellow Bourbon,Semi-washed / Semi-pulped,0.12,0,0,Green,6,Specialty Grade,0
385,"Tanzania, United Republic Of",60 kg,Bourbon,Washed / Wet,0.13,0,0,Green,4,Specialty Grade,1.6
386,Colombia,70 kg,Caturra,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.8
387,Guatemala,69 kg,Bourbon,Natural / Dry,0.1,0,0,Green,1,Specialty Grade,0.4
388,Guatemala,69 kg,Caturra,Washed / Wet,0.1,0,0,Green,2,Specialty Grade,1.5
389,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,0.4
390,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0,0,0,Green,2,Specialty Grade,0
391,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.4
392,Colombia,70 kg,,,0.1,1,0,,3,Specialty Grade,0
393,United States (Hawaii),60 kg,,,0.01,0,0,,0,Specialty Grade,0
394,Thailand,1 lbs,Peaberry,,0.11,0,0,,0,Specialty Grade,0
395,Mexico,6,,,0.09,2,0,,4,Specialty Grade,1.1
396,Colombia,70 kg,Caturra,Washed / Wet,0,0,1,,0,Specialty Grade,1.7
397,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Blue-Green,0,Specialty Grade,0
398,Colombia,70 kg,Caturra,Washed / Wet,0,1,0,Green,2,Specialty Grade,0
399,Brazil,2 kg,Catuai,Semi-washed / Semi-pulped,0.1,1,0,Green,5,Specialty Grade,1.2
400,Mexico,1 kg,Caturra,Washed / Wet,0.12,0,0,Green,2,Specialty Grade,1.2
401,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.7
402,"Tanzania, United Republic Of",60 kg,Other,Semi-washed / Semi-pulped,0.12,0,0,Green,6,Specialty Grade,1.7
403,Mexico,1 kg,Other,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.1
404,Costa Rica,3 lbs,Caturra,Washed / Wet,0.12,0,0,Green,3,Specialty Grade,1.3
405,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.11,0,0,Bluish-Green,1,Specialty Grade,0
406,Costa Rica,1 kg,Catuai,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.2
407,Peru,5 lbs,,Washed / Wet,0.12,0,0,Green,5,Specialty Grade,0
408,Haiti,4 lbs,Typica,Washed / Wet,0.11,0,0,Green,4,Specialty Grade,0.4
409,Colombia,70 kg,Caturra,Natural / Dry,0.11,0,0,Green,1,Specialty Grade,1
410,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,0.4
411,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.1,0,0,Bluish-Green,4,Specialty Grade,0
412,Burundi,60 kg,Bourbon,Washed / Wet,0,0,0,,5,Specialty Grade,1.9
413,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,1,Specialty Grade,1.8
414,United States (Hawaii),100 lbs,,,0.01,0,0,,0,Specialty Grade,0
415,United States (Hawaii),100 lbs,,,0,0,0,,0,Specialty Grade,0
416,Mexico,50 kg,Typica,Washed / Wet,0.11,0,0,Blue-Green,0,Specialty Grade,1.6
417,Costa Rica,46 kg,Catuai,Pulped natural / honey,0.11,0,0,Green,0,Specialty Grade,1.9
418,Costa Rica,69 kg,,Washed / Wet,0.11,0,0,,0,Specialty Grade,0
419,Guatemala,0 kg,Pacas,Washed / Wet,0.11,0,2,Green,7,Specialty Grade,2.1
420,Uganda,9000 kg,SL14,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,0
421,Brazil,60 kg,,,0.12,0,0,Green,4,Specialty Grade,0
422,Colombia,35 kg,Caturra,Natural / Dry,0,0,0,Green,2,Specialty Grade,0.4
423,Mexico,2 kg,Typica,Natural / Dry,0.12,0,0,Bluish-Green,2,Specialty Grade,1.3
424,Taiwan,15 kg,Bourbon,Washed / Wet,0.1,0,0,Blue-Green,0,Specialty Grade,1
425,Taiwan,60 kg,Typica,Washed / Wet,0.1,0,0,Green,0,Specialty Grade,0.8
426,Colombia,70 kg,Caturra,Natural / Dry,0,0,0,Green,0,Specialty Grade,1.5
427,Guatemala,69 kg,Caturra,Washed / Wet,0.1,0,0,Green,1,Specialty Grade,1.5
428,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.8
429,Mexico,1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,6,Specialty Grade,1.3
430,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.11,0,0,Bluish-Green,4,Specialty Grade,0
431,Mexico,1 kg,Mundo Novo,Washed / Wet,0.13,0,0,Green,7,Specialty Grade,0
432,Mexico,1 kg,Caturra,Washed / Wet,0.12,0,0,Blue-Green,0,Specialty Grade,1
433,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,9,Specialty Grade,0.4
434,Brazil,60 kg,Yellow Bourbon,Semi-washed / Semi-pulped,0.11,0,0,Blue-Green,1,Specialty Grade,1.2
435,Colombia,70 kg,Caturra,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,0.2
436,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.8
437,Colombia,70 kg,,,0.08,0,0,,0,Specialty Grade,1.7
438,Colombia,70 kg,,,0.13,0,0,,1,Specialty Grade,1.9
439,Colombia,70 kg,,,0.04,0,0,,1,Specialty Grade,1.8
440,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,0,Green,4,Specialty Grade,0.9
441,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,1,Specialty Grade,1.9
442,"Tanzania, United Republic Of",60 kg,Bourbon,Washed / Wet,0.12,0,0,Green,3,Specialty Grade,0.2
443,Peru,13800 kg,,,0.11,0,1,Green,0,Specialty Grade,0
444,Vietnam,2 kg,Catimor,Natural / Dry,0.07,0,0,None,0,Specialty Grade,1.6
445,Guatemala,1500 kg,Caturra,Washed / Wet,0.11,2,2,Green,3,Specialty Grade,1.5
446,Honduras,69 kg,Catuai,Washed / Wet,0.11,0,1,Blue-Green,1,Specialty Grade,1.4
447,China,60 kg,Catimor,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.2
448,China,60 kg,Catimor,Washed / Wet,0.1,0,0,Green,3,Specialty Grade,1.6
449,El Salvador,69 kg,Bourbon,Washed / Wet,0,0,0,Green,0,Specialty Grade,1.4
450,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.5
451,Guatemala,69 kg,Bourbon,Washed / Wet,0.12,0,0,Green,3,Specialty Grade,1.7
452,Kenya,2 kg,SL28,Washed / Wet,0.1,0,0,Bluish-Green,1,Specialty Grade,0.3
453,Thailand,1 kg,,Washed / Wet,0.12,0,0,Bluish-Green,0,Specialty Grade,0.8
454,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.13,0,0,Bluish-Green,6,Specialty Grade,1.7
455,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,,4,Specialty Grade,1.8
456,Uganda,60 kg,SL14,Washed / Wet,0.1,0,0,Bluish-Green,0,Specialty Grade,1.8
457,Colombia,4 lbs,,Washed / Wet,0.11,10,0,Green,3,Specialty Grade,0
458,Honduras,1 kg,Catuai,Natural / Dry,0.1,0,0,Green,5,Specialty Grade,1.4
459,Honduras,1 kg,Caturra,Natural / Dry,0.11,0,0,Green,3,Specialty Grade,1.4
460,Guatemala,69 kg,Catuai,Washed / Wet,0.09,0,0,Green,1,Specialty Grade,0.5
461,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.11,0,0,Bluish-Green,0,Specialty Grade,0
462,"Tanzania, United Republic Of",1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.8
463,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,0.4
464,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.5
465,Mexico,1 kg,Typica,Washed / Wet,0.12,3,0,None,8,Specialty Grade,0.5
466,Mexico,1 kg,Pacamara,Washed / Wet,0.14,0,0,None,10,Specialty Grade,1.1
467,Colombia,70 kg,Caturra,Washed / Wet,0.11,1,0,Green,2,Specialty Grade,1.8
468,Mexico,1 kg,Typica,Washed / Wet,0.13,0,0,Green,5,Specialty Grade,0.7
469,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Blue-Green,0,Specialty Grade,1.8
470,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,,5,Specialty Grade,1.4
471,Brazil,60 kg,Mundo Novo,Natural / Dry,0.12,0,0,Green,1,Specialty Grade,1
472,Brazil,60 kg,Mundo Novo,Natural / Dry,0.11,0,0,Green,4,Specialty Grade,1
473,Guatemala,2 kg,Bourbon,Washed / Wet,0,0,0,Green,10,Specialty Grade,0.4
474,Brazil,60 kg,Mundo Novo,Semi-washed / Semi-pulped,0.12,0,0,Blue-Green,3,Specialty Grade,1
475,Brazil,60 kg,,,0.02,0,0,,2,Specialty Grade,0.9
476,El Salvador,69 kg,,,0.14,0,0,,3,Specialty Grade,1.2
477,Ethiopia,6,,,0.01,0,0,,0,Specialty Grade,1.9
478,Colombia,70 kg,Caturra,Washed / Wet,0,0,1,Green,4,Specialty Grade,1.8
479,Colombia,70 kg,Caturra,Washed / Wet,0,1,2,Green,5,Specialty Grade,0
480,Brazil,60 kg,Yellow Bourbon,Pulped natural / honey,0.11,0,2,Bluish-Green,2,Specialty Grade,0.9
481,Brazil,2 kg,Yellow Bourbon,Natural / Dry,0,0,0,Green,3,Specialty Grade,0
482,Taiwan,60 kg,Typica,Natural / Dry,0,0,0,Green,0,Specialty Grade,0.8
483,Brazil,60 kg,Mundo Novo,Natural / Dry,0.11,0,0,Green,13,Specialty Grade,0
484,Brazil,2 kg,Bourbon,Washed / Wet,0,0,0,Green,1,Specialty Grade,1.2
485,Costa Rica,1 kg,Catuai,Washed / Wet,0.1,0,0,Green,3,Specialty Grade,1.3
486,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.12,0,0,Bluish-Green,8,Specialty Grade,0
487,Taiwan,30 kg,Typica,Other,0.11,0,0,,0,Specialty Grade,1.3
488,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.1,0,0,Bluish-Green,0,Specialty Grade,0
489,Mexico,1 kg,Other,Washed / Wet,0.1,0,0,,1,Specialty Grade,1.4
490,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0,1,0,,4,Specialty Grade,0
491,United States (Hawaii),100 lbs,Hawaiian Kona,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,0
492,Colombia,70 kg,Caturra,,0.01,0,0,,0,Specialty Grade,1.8
493,Colombia,70 kg,,,0.08,1,0,,3,Specialty Grade,1.9
494,Indonesia,60 kg,,,0,0,0,,0,Specialty Grade,1.4
495,Guatemala,69 kg,,,0.02,0,0,,1,Specialty Grade,0
496,Brazil,60 kg,Bourbon,Natural / Dry,0,0,0,Green,4,Specialty Grade,0.9
497,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,3,Green,5,Specialty Grade,0.9
498,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,2,Bluish-Green,3,Specialty Grade,0.9
499,Uganda,60 kg,Bourbon,Washed / Wet,0.12,0,0,Green,6,Specialty Grade,1.5
500,Uganda,60 kg,Bourbon,Natural / Dry,0.12,0,5,Green,8,Specialty Grade,1.6
501,Colombia,70 kg,,,0.11,0,0,Green,4,Specialty Grade,0.4
502,Vietnam,2 kg,Caturra,Other,0,0,0,Green,0,Specialty Grade,1.6
503,Guatemala,69 kg,Catuai,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.6
504,Guatemala,69 kg,Catuai,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,0.4
505,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.5
506,Brazil,2 kg,Catuai,Natural / Dry,0,0,0,Green,0,Specialty Grade,1
507,Taiwan,60 kg,Typica,Washed / Wet,0.08,0,0,Green,0,Specialty Grade,1.2
508,Uganda,60 kg,SL14,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.8
509,United States (Puerto Rico),5 lbs,Other,Washed / Wet,0,0,0,Bluish-Green,0,Specialty Grade,0.3
510,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,1,0,Green,0,Specialty Grade,1.5
511,Costa Rica,1 kg,Catuai,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.2
512,Brazil,2 kg,Yellow Bourbon,Semi-washed / Semi-pulped,0.12,0,0,Bluish-Green,4,Specialty Grade,1.2
513,Colombia,70 kg,Caturra,Washed / Wet,0.11,1,0,Green,1,Specialty Grade,1.8
514,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,0,Specialty Grade,1.8
515,Colombia,70 kg,Caturra,Natural / Dry,0.11,0,0,Green,1,Specialty Grade,1
516,Colombia,70 kg,Caturra,Natural / Dry,0,0,0,Green,2,Specialty Grade,1
517,Colombia,70 kg,Caturra,Washed / Wet,0.11,1,0,Green,2,Specialty Grade,1.8
518,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,20,Specialty Grade,0.8
519,Mexico,1 kg,Typica,Semi-washed / Semi-pulped,0.11,0,0,Green,7,Specialty Grade,1.2
520,Mexico,1 kg,Bourbon,Washed / Wet,0.11,5,0,Green,8,Specialty Grade,1.2
521,Colombia,70 kg,Arusha,Natural / Dry,0,1,0,,4,Specialty Grade,0
522,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,4,Specialty Grade,1.6
523,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.8
524,Guatemala,1 kg,Bourbon,Washed / Wet,0.1,0,0,Green,2,Specialty Grade,0.4
525,Colombia,1 kg,Caturra,Washed / Wet,0.12,0,0,Bluish-Green,0,Specialty Grade,1.8
526,Thailand,60 kg,,,0.28,0,0,,0,Specialty Grade,0
527,Colombia,70 kg,,,0.08,0,0,,1,Specialty Grade,1.4
528,United States (Hawaii),100 lbs,,,0,0,0,,0,Specialty Grade,0
529,United States (Hawaii),100 lbs,,,0,0,0,,1,Specialty Grade,0
530,Colombia,70 kg,,,0.06,0,0,,2,Specialty Grade,1.8
531,Nicaragua,6,Caturra,,0.07,0,0,,0,Specialty Grade,0
532,Thailand,1 lbs,,,0,0,0,,0,Specialty Grade,0
533,Brazil,60 kg,Bourbon,Natural / Dry,0,0,0,Green,0,Specialty Grade,0.9
534,El Salvador,69 kg,Bourbon,Washed / Wet,0,0,0,Green,1,Specialty Grade,1.4
535,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.5
536,Taiwan,20 kg,Caturra,Natural / Dry,0.09,31,0,Green,0,Specialty Grade,0.4
537,Ethiopia,60 kg,Ethiopian Heirlooms,Washed / Wet,0,1,0,Bluish-Green,20,Specialty Grade,2
538,Taiwan,2 kg,Typica,Natural / Dry,0,0,0,Green,9,Specialty Grade,0.8
539,Philippines,2 kg,Other,Washed / Wet,0.11,0,0,Blue-Green,1,Specialty Grade,1.2
540,Philippines,2 kg,Other,Washed / Wet,0,0,0,Bluish-Green,0,Specialty Grade,1.6
541,Mexico,2 kg,Typica,Natural / Dry,0.13,0,0,Blue-Green,3,Specialty Grade,1.1
542,Mexico,2 kg,Bourbon,Washed / Wet,0.12,2,0,Bluish-Green,8,Specialty Grade,1.3
543,Brazil,2 kg,Moka Peaberry,Semi-washed / Semi-pulped,0.11,0,0,Green,16,Specialty Grade,11
544,Uganda,60 kg,SL14,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.7
545,Uganda,60 kg,SL14,Washed / Wet,0.12,0,0,Green,4,Specialty Grade,1.4
546,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,1,Specialty Grade,1.5
547,Guatemala,69 kg,Caturra,Natural / Dry,0.1,0,0,Green,2,Specialty Grade,1.5
548,Guatemala,2 kg,,Washed / Wet,0.1,0,0,Green,4,Specialty Grade,0
549,Colombia,70 kg,Caturra,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.9
550,Colombia,70 kg,Caturra,Natural / Dry,0,0,0,Bluish-Green,0,Specialty Grade,1.8
551,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,0.5
552,Colombia,70 kg,Other,Washed / Wet,0.11,3,0,Green,5,Specialty Grade,1.4
553,Mexico,1 kg,Typica,Natural / Dry,0.1,0,0,Green,4,Specialty Grade,1.2
554,Vietnam,2 kg,Other,Natural / Dry,0,0,0,None,17,Specialty Grade,1
555,Mexico,1 kg,Typica,Washed / Wet,0.14,1,0,Green,4,Specialty Grade,1.4
556,United States (Hawaii),100 lbs,Hawaiian Kona,Washed / Wet,0.1,0,0,Green,0,Specialty Grade,0
557,Colombia,70 kg,,,0.15,0,0,,0,Specialty Grade,1.4
558,Thailand,1 lbs,,,0,0,0,,0,Specialty Grade,0
559,Kenya,50 kg,SL28,Washed / Wet,0.1,0,0,Green,3,Specialty Grade,1.8
560,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,1,1,Green,2,Specialty Grade,1.7
561,Brazil,60 kg,Yellow Bourbon,Pulped natural / honey,0.11,0,2,Bluish-Green,2,Specialty Grade,0.9
562,El Salvador,69 kg,Pacas,Washed / Wet,0,0,0,Green,4,Specialty Grade,1.2
563,Rwanda,60 kg,Bourbon,Washed / Wet,0.11,0,0,Bluish-Green,0,Specialty Grade,1.9
564,Vietnam,2 kg,Other,Other,0.11,11,0,Green,0,Specialty Grade,1
565,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,0.4
